Medge,ReTheta,Mtau,Retau,Bq,Tw_Tr,Visc law,T_w,Author,Symbol,Color,Size,Identifier
2.5,2850.06722426412,0.08,510,0,1,Sutherland,568,Zhang et al. (2018),P,tab:red,1.3,0
5.86,9175.43533866493,0.13,453,-0.02,0.76,Sutherland,300,Zhang et al. (2018),P,tab:red,1.3,1
5.84,2052.65175146846,0.17,450,-0.14,0.25,Sutherland,97.5,Zhang et al. (2018),P,tab:red,1.3,2
13.64,14301.7729995921,0.19,646,-0.19,0.18,Sutherland,300,Zhang et al. (2018),P,tab:red,1.3,4
2,920.935152091916,0.082917306851273,204.807471832453,0,1,Sutherland,291.56798155861,Bernandini and Pirozzoli (2011),*,tab:blue,1.5,5
2,2200.72163824245,0.074368919364833,447.765635649893,0,1,Sutherland,291.131305821881,Bernandini and Pirozzoli (2011),*,tab:blue,1.5,6
2,3030.63259349479,0.071232608114424,583.140342546364,0,1,Sutherland,291.169992704421,Bernandini and Pirozzoli (2011),*,tab:blue,1.5,7
2,5000.44777990128,0.066957025320302,898.501216595795,0,1,Sutherland,291.190958426415,Bernandini and Pirozzoli (2011),*,tab:blue,1.5,8
2,6362.66464413582,0.064918285019502,1113.37487362907,0,1,Sutherland,291.283314308949,Bernandini and Pirozzoli (2011),*,tab:blue,1.5,9
3,3098.35310720327,0.095071976525461,402.512430457859,0,1,Sutherland,442.915771161995,Bernandini and Pirozzoli (2011),*,tab:blue,1.5,10
3,4051.96509785566,0.091386973970272,501.959480429549,0,1,Sutherland,442.763103585698,Bernandini and Pirozzoli (2011),*,tab:blue,1.5,11
4,4881.65986277038,0.104677022884451,398.211384163037,0,1,Sutherland,655.632682446196,Bernandini and Pirozzoli (2011),*,tab:blue,1.5,12
4,6129.7490351801,0.102768616550694,504.559737835471,0,1,Sutherland,654.701943044807,Bernandini and Pirozzoli (2011),*,tab:blue,1.5,13
2,1596.30389115573,0.0807,453.021733,-0.016,0.76,Sutherland,130.111890693001,Cogo et al. (2022),X,tab:orange,1.3,14
2,8270.4650204918,0.0657,1947.084767,-0.019,0.76,Sutherland,130.123477028605,Cogo et al. (2022),X,tab:orange,1.3,15
5.86,7997.06215693206,0.1322,453.195823,-0.013,0.76,Sutherland,540.546089394395,Cogo et al. (2022),X,tab:orange,1.3,16
5.86,40774.6527128768,0.1082,1947.050619,-0.014,0.76,Sutherland,540.545039710021,Cogo et al. (2022),X,tab:orange,1.3,17
5.84,2552.13835313844,0.1673,500,-0.1317,0.25,Sutherland,98.2667315838286,Ceci et al. (2022),D,tab:purple,1,18
5.84,3218.53366251111,0.1612,600,-0.1266,0.25,Sutherland,98.6350857768577,Ceci et al. (2022),D,tab:purple,1,19
5.84,3703.8187742846,0.1576,700,-0.1223,0.25,Sutherland,98.6889103795055,Ceci et al. (2022),D,tab:purple,1,20
5.84,4364.99349941894,0.1539,800,-0.1181,0.25,Sutherland,98.7837102428473,Ceci et al. (2022),D,tab:purple,1,21
5.84,4994.41005202272,0.1515,900,-0.1181,0.25,Sutherland,99.0070067625303,Ceci et al. (2022),D,tab:purple,1,22
5.84,5688.39937629938,0.1491,1000,-0.1152,0.25,Sutherland,99.0747187706864,Ceci et al. (2022),D,tab:purple,1,23
5.84,10180.976902232,0.13,453,-0.02,0.76,Sutherland,300,A. Ceci (private communication),^,tab:purple,1,24
7.87,11851.0257893816,0.15,480,-0.06,0.48,Sutherland,298,A. Ceci (private communication),^,tab:purple,1,25
10.9,9080,0.183,631,-0.164,0.2,Sutherland,300,Huang et al. (2022),o,tab:green,1,26
10.9,14143,0.174,923,-0.154,0.2,Sutherland,300,Huang et al. (2022),o,tab:green,1,27
10.9,18164,0.167,1138,-0.148,0.2,Sutherland,300,Huang et al. (2022),o,tab:green,1,28
